plan_id,机构,质评项目组,质评原写法,项目库标准名,匹配方式,是否已录入成绩,风险标记
89,北京市,肝炎标志物,HBeAb,乙型肝炎病毒e抗体,exact,是,⚠已录入成绩-改写会丢失
89,北京市,肝炎标志物,HBcAb,乙型肝炎病毒核心抗体,exact,是,⚠已录入成绩-改写会丢失；缩写→中文-请确认映射正确
89,北京市,肝炎标志物,HCVAb,丙型肝炎病毒抗体,exact,是,⚠已录入成绩-改写会丢失；缩写→中文-请确认映射正确
91,北京市,感染性疾病血清学标志物系列C,HIV,人类免疫缺陷病毒抗原及抗体,exact,是,⚠已录入成绩-改写会丢失；缩写→中文-请确认映射正确
91,北京市,感染性疾病血清学标志物系列C,梅毒特异性抗体,梅毒特异性抗体（仅孕妇）,substring,是,⚠已录入成绩-改写会丢失
93,北京市,中孕期母血清产前筛查,AFP,甲胎蛋白,exact,是,⚠已录入成绩-改写会丢失；缩写→中文-请确认映射正确
93,北京市,中孕期母血清产前筛查,βHCG,β人绒毛膜促性腺激素,exact,是,⚠已录入成绩-改写会丢失；缩写→中文-请确认映射正确
93,北京市,中孕期母血清产前筛查,uE3,非结合型雌三醇,exact,是,⚠已录入成绩-改写会丢失；缩写→中文-请确认映射正确
95,北京市,肿瘤标志物A,总βHCG,β人绒毛膜促性腺激素,exact,是,⚠已录入成绩-改写会丢失；缩写→中文-请确认映射正确
95,北京市,肿瘤标志物A,AFP,甲胎蛋白,exact,是,⚠已录入成绩-改写会丢失；缩写→中文-请确认映射正确
95,北京市,肿瘤标志物A,β2微球蛋白,β2-微球蛋白,exact,是,⚠已录入成绩-改写会丢失
95,北京市,肿瘤标志物A,CEA,癌胚抗原（胸腹水）,exact,是,⚠已录入成绩-改写会丢失；缩写→中文-请确认映射正确
95,北京市,肿瘤标志物A,TPSA,总前列腺特异性抗原,exact,是,⚠已录入成绩-改写会丢失；缩写→中文-请确认映射正确
95,北京市,肿瘤标志物A,FPSA,游离前列腺特异性抗原,exact,是,⚠已录入成绩-改写会丢失；缩写→中文-请确认映射正确
111,卫健委,骨代谢标志物,PTH,甲状旁腺激素,exact,是,⚠已录入成绩-改写会丢失；缩写→中文-请确认映射正确
111,卫健委,骨代谢标志物,TP1NP,总蛋白,substring,是,⚠已录入成绩-改写会丢失；缩写→中文-请确认映射正确
111,卫健委,骨代谢标志物,VD,维生素D,exact,是,⚠已录入成绩-改写会丢失
113,卫健委,纤维蛋白（原）降解产物检测,FDP,纤维蛋白（原）降解产物,exact,是,⚠已录入成绩-改写会丢失；缩写→中文-请确认映射正确
1,卫健委,糖化血红蛋白,HbA1c,糖化血红蛋白,exact,否,缩写→中文-请确认映射正确
2,卫健委,心肌标志物,肌酸激酶-MB,肌酸激酶,substring,否,缩写→中文-请确认映射正确
2,卫健委,心肌标志物,肌钙蛋白-I,超敏肌钙蛋白Ⅰ,exact,否,缩写→中文-请确认映射正确
3,卫健委,心肌标志物,肌酸激酶-MB,肌酸激酶,substring,否,缩写→中文-请确认映射正确
3,卫健委,心肌标志物,肌钙蛋白-I,超敏肌钙蛋白Ⅰ,exact,否,缩写→中文-请确认映射正确
16,卫健委,血清降钙素原,PCT,降钙素原,exact,否,缩写→中文-请确认映射正确
17,卫健委,血清降钙素原,PCT,降钙素原,exact,否,缩写→中文-请确认映射正确
19,卫健委,凝血试验,PT,凝血酶原时间,exact,否,缩写→中文-请确认映射正确
19,卫健委,凝血试验,INR,可溶性转铁蛋白受体,substring,否,缩写→中文-请确认映射正确
19,卫健委,凝血试验,APTT,活化部分凝血活酶时间,exact,否,缩写→中文-请确认映射正确
19,卫健委,凝血试验,FIB,纤维蛋白原,exact,否,缩写→中文-请确认映射正确
19,卫健委,凝血试验,TT,凝血酶时间,exact,否,缩写→中文-请确认映射正确
20,卫健委,凝血试验,PT,凝血酶原时间,exact,否,缩写→中文-请确认映射正确
20,卫健委,凝血试验,INR,可溶性转铁蛋白受体,substring,否,缩写→中文-请确认映射正确
20,卫健委,凝血试验,APTT,活化部分凝血活酶时间,exact,否,缩写→中文-请确认映射正确
20,卫健委,凝血试验,FIB,纤维蛋白原,exact,否,缩写→中文-请确认映射正确
20,卫健委,凝血试验,TT,凝血酶时间,exact,否,缩写→中文-请确认映射正确
27,卫健委,常规化学A,总铁结合力,不饱和铁结合力/总铁结合力,exact,否,canonical含/-会二次拆分
28,卫健委,常规化学A,总铁结合力,不饱和铁结合力/总铁结合力,exact,否,canonical含/-会二次拆分
29,卫健委,常规化学A,总铁结合力,不饱和铁结合力/总铁结合力,exact,否,canonical含/-会二次拆分
30,卫健委,特殊蛋白,RF,类风湿因子,exact,否,缩写→中文-请确认映射正确
31,卫健委,特殊蛋白,RF,类风湿因子,exact,否,缩写→中文-请确认映射正确
32,卫健委,抗凝蛋白,蛋白C,铜蓝蛋白,substring,否,缩写→中文-请确认映射正确
33,卫健委,抗凝蛋白,蛋白C,铜蓝蛋白,substring,否,缩写→中文-请确认映射正确
36,卫健委,细胞因子,IL-6,白介素-6,exact,否,缩写→中文-请确认映射正确
37,卫健委,细胞因子,IL-6,白介素-6,exact,否,缩写→中文-请确认映射正确
44,北京市,D-二聚体和纤维蛋白降解产物检测,FDP,纤维蛋白（原）降解产物,exact,否,缩写→中文-请确认映射正确
45,北京市,D-二聚体和纤维蛋白降解产物检测,FDP,纤维蛋白（原）降解产物,exact,否,缩写→中文-请确认映射正确
46,北京市,血清降钙素原,PCT,降钙素原,exact,否,缩写→中文-请确认映射正确
47,北京市,血清降钙素原,PCT,降钙素原,exact,否,缩写→中文-请确认映射正确
48,北京市,糖化白蛋白,GA,糖化白蛋白,exact,否,缩写→中文-请确认映射正确
49,北京市,糖化白蛋白,GA,糖化白蛋白,exact,否,缩写→中文-请确认映射正确
50,北京市,凝血试验,PT,凝血酶原时间,exact,否,缩写→中文-请确认映射正确
50,北京市,凝血试验,INR,可溶性转铁蛋白受体,substring,否,缩写→中文-请确认映射正确
50,北京市,凝血试验,APTT,活化部分凝血活酶时间,exact,否,缩写→中文-请确认映射正确
50,北京市,凝血试验,FIB,纤维蛋白原,exact,否,缩写→中文-请确认映射正确
50,北京市,凝血试验,TT,凝血酶时间,exact,否,缩写→中文-请确认映射正确
51,北京市,凝血试验,PT,凝血酶原时间,exact,否,缩写→中文-请确认映射正确
51,北京市,凝血试验,INR,可溶性转铁蛋白受体,substring,否,缩写→中文-请确认映射正确
51,北京市,凝血试验,APTT,活化部分凝血活酶时间,exact,否,缩写→中文-请确认映射正确
51,北京市,凝血试验,FIB,纤维蛋白原,exact,否,缩写→中文-请确认映射正确
51,北京市,凝血试验,TT,凝血酶时间,exact,否,缩写→中文-请确认映射正确
52,北京市,细胞因子,IL-6,白介素-6,exact,否,缩写→中文-请确认映射正确
53,北京市,细胞因子,IL-6,白介素-6,exact,否,缩写→中文-请确认映射正确
54,北京市,京津冀鲁盲样,京津冀鲁盲样,(无法匹配),-,否,未匹配-需人工或补别名
55,北京市,京津冀鲁盲样,京津冀鲁盲样,(无法匹配),-,否,未匹配-需人工或补别名
56,卫健委,感染性疾病血清学标志物系列A,HBsAg,乙型肝炎病毒表面抗原,exact,否,缩写→中文-请确认映射正确
56,卫健委,感染性疾病血清学标志物系列A,HBsAb,乙型肝炎病毒表面抗体,exact,否,缩写→中文-请确认映射正确
56,卫健委,感染性疾病血清学标志物系列A,HBcAb,乙型肝炎病毒核心抗体,exact,否,缩写→中文-请确认映射正确
56,卫健委,感染性疾病血清学标志物系列A,HCVAb,丙型肝炎病毒抗体,exact,否,缩写→中文-请确认映射正确
57,卫健委,感染性疾病血清学标志物系列A,HBsAg,乙型肝炎病毒表面抗原,exact,否,缩写→中文-请确认映射正确
57,卫健委,感染性疾病血清学标志物系列A,HBsAb,乙型肝炎病毒表面抗体,exact,否,缩写→中文-请确认映射正确
57,卫健委,感染性疾病血清学标志物系列A,HBcAb,乙型肝炎病毒核心抗体,exact,否,缩写→中文-请确认映射正确
57,卫健委,感染性疾病血清学标志物系列A,HCVAb,丙型肝炎病毒抗体,exact,否,缩写→中文-请确认映射正确
60,卫健委,感染性疾病血清学标志物系列C,HIV,人类免疫缺陷病毒抗原及抗体,exact,否,缩写→中文-请确认映射正确
60,卫健委,感染性疾病血清学标志物系列C,TPAb,梅毒螺旋体抗体,exact,否,缩写→中文-请确认映射正确
60,卫健委,感染性疾病血清学标志物系列C,TRUST,抗梅毒螺旋体非特异性抗体,substring,否,缩写→中文-请确认映射正确
61,卫健委,感染性疾病血清学标志物系列C,HIV,人类免疫缺陷病毒抗原及抗体,exact,否,缩写→中文-请确认映射正确
61,卫健委,感染性疾病血清学标志物系列C,TPAb,梅毒螺旋体抗体,exact,否,缩写→中文-请确认映射正确
61,卫健委,感染性疾病血清学标志物系列C,TRUST,抗梅毒螺旋体非特异性抗体,substring,否,缩写→中文-请确认映射正确
62,卫健委,中孕期母血清产前筛查,AFP,甲胎蛋白,exact,否,缩写→中文-请确认映射正确
62,卫健委,中孕期母血清产前筛查,βHCG,β人绒毛膜促性腺激素,exact,否,缩写→中文-请确认映射正确
62,卫健委,中孕期母血清产前筛查,uE3,非结合型雌三醇,exact,否,缩写→中文-请确认映射正确
63,卫健委,中孕期母血清产前筛查,AFP,甲胎蛋白,exact,否,缩写→中文-请确认映射正确
63,卫健委,中孕期母血清产前筛查,βHCG,β人绒毛膜促性腺激素,exact,否,缩写→中文-请确认映射正确
63,卫健委,中孕期母血清产前筛查,uE3,非结合型雌三醇,exact,否,缩写→中文-请确认映射正确
64,卫健委,中孕期母血清产前筛查,AFP,甲胎蛋白,exact,否,缩写→中文-请确认映射正确
64,卫健委,中孕期母血清产前筛查,βHCG,β人绒毛膜促性腺激素,exact,否,缩写→中文-请确认映射正确
64,卫健委,中孕期母血清产前筛查,uE3,非结合型雌三醇,exact,否,缩写→中文-请确认映射正确
65,卫健委,内分泌,游离T3,游离三碘甲状腺原氨酸,exact,否,缩写→中文-请确认映射正确
65,卫健委,内分泌,总T3,三碘甲状腺原氨酸,exact,否,缩写→中文-请确认映射正确
65,卫健委,内分泌,游离T4,游离甲状腺素,exact,否,缩写→中文-请确认映射正确
65,卫健委,内分泌,总T4,甲状腺素,exact,否,缩写→中文-请确认映射正确
65,卫健委,内分泌,TSH,促甲状腺激素,exact,否,缩写→中文-请确认映射正确
65,卫健委,内分泌,Tg,甘油三酯,exact,否,缩写→中文-请确认映射正确
65,卫健委,内分泌,PTH,甲状旁腺激素,exact,否,缩写→中文-请确认映射正确
66,卫健委,内分泌,游离T3,游离三碘甲状腺原氨酸,exact,否,缩写→中文-请确认映射正确
66,卫健委,内分泌,总T3,三碘甲状腺原氨酸,exact,否,缩写→中文-请确认映射正确
66,卫健委,内分泌,游离T4,游离甲状腺素,exact,否,缩写→中文-请确认映射正确
66,卫健委,内分泌,总T4,甲状腺素,exact,否,缩写→中文-请确认映射正确
66,卫健委,内分泌,TSH,促甲状腺激素,exact,否,缩写→中文-请确认映射正确
66,卫健委,内分泌,Tg,甘油三酯,exact,否,缩写→中文-请确认映射正确
66,卫健委,内分泌,PTH,甲状旁腺激素,exact,否,缩写→中文-请确认映射正确
69,卫健委,肝纤维化血清学指标,层粘连蛋白(LN),层粘连蛋白,substring,否,缩写→中文-请确认映射正确
69,卫健委,肝纤维化血清学指标,四型胶原(CIV),四型胶原,substring,否,缩写→中文-请确认映射正确
69,卫健委,肝纤维化血清学指标,透明质酸(HA),透明质酸,substring,否,缩写→中文-请确认映射正确
70,卫健委,肝纤维化血清学指标,层粘连蛋白(LN),层粘连蛋白,substring,否,缩写→中文-请确认映射正确
70,卫健委,肝纤维化血清学指标,四型胶原(CIV),四型胶原,substring,否,缩写→中文-请确认映射正确
70,卫健委,肝纤维化血清学指标,透明质酸(HA),透明质酸,substring,否,缩写→中文-请确认映射正确
73,卫健委,醛固酮和肾素,血管紧张素II,(无法匹配),-,否,未匹配-需人工或补别名
74,卫健委,抗缪勒管激素,AMH,抗缪勒管激素,exact,否,缩写→中文-请确认映射正确
75,卫健委,抗缪勒管激素,AMH,抗缪勒管激素,exact,否,缩写→中文-请确认映射正确
78,卫健委,感染性疾病抗原抗体快速检测,HBsAg（胶体金）,快速乙型肝炎病毒表面抗原,exact,否,缩写→中文-请确认映射正确
78,卫健委,感染性疾病抗原抗体快速检测,TP（胶体金）,快速抗梅毒螺旋体抗体,exact,否,缩写→中文-请确认映射正确
78,卫健委,感染性疾病抗原抗体快速检测,HCV（胶体金）,快速抗丙型肝炎病毒抗体(仅复检）,exact,否,缩写→中文-请确认映射正确
79,卫健委,感染性疾病抗原抗体快速检测,HBsAg（胶体金）,快速乙型肝炎病毒表面抗原,exact,否,缩写→中文-请确认映射正确
79,卫健委,感染性疾病抗原抗体快速检测,TP（胶体金）,快速抗梅毒螺旋体抗体,exact,否,缩写→中文-请确认映射正确
79,卫健委,感染性疾病抗原抗体快速检测,HCV（胶体金）,快速抗丙型肝炎病毒抗体(仅复检）,exact,否,缩写→中文-请确认映射正确
80,卫健委,肿瘤标志物A,总βHCG,β人绒毛膜促性腺激素,exact,否,缩写→中文-请确认映射正确
80,卫健委,肿瘤标志物A,AFP,甲胎蛋白,exact,否,缩写→中文-请确认映射正确
80,卫健委,肿瘤标志物A,CEA,癌胚抗原（胸腹水）,exact,否,缩写→中文-请确认映射正确
80,卫健委,肿瘤标志物A,TPSA,总前列腺特异性抗原,exact,否,缩写→中文-请确认映射正确
80,卫健委,肿瘤标志物A,FPSA,游离前列腺特异性抗原,exact,否,缩写→中文-请确认映射正确
81,卫健委,肿瘤标志物A,总βHCG,β人绒毛膜促性腺激素,exact,否,缩写→中文-请确认映射正确
81,卫健委,肿瘤标志物A,AFP,甲胎蛋白,exact,否,缩写→中文-请确认映射正确
81,卫健委,肿瘤标志物A,CEA,癌胚抗原（胸腹水）,exact,否,缩写→中文-请确认映射正确
81,卫健委,肿瘤标志物A,TPSA,总前列腺特异性抗原,exact,否,缩写→中文-请确认映射正确
81,卫健委,肿瘤标志物A,FPSA,游离前列腺特异性抗原,exact,否,缩写→中文-请确认映射正确
82,北京市,感染性疾病抗原抗体快速检测,HBsAg（胶体金）,快速乙型肝炎病毒表面抗原,exact,否,缩写→中文-请确认映射正确
82,北京市,感染性疾病抗原抗体快速检测,TP（胶体金）,快速抗梅毒螺旋体抗体,exact,否,缩写→中文-请确认映射正确
82,北京市,感染性疾病抗原抗体快速检测,HCV（胶体金）,快速抗丙型肝炎病毒抗体(仅复检）,exact,否,缩写→中文-请确认映射正确
84,北京市,内分泌,TT3,三碘甲状腺原氨酸,exact,否,缩写→中文-请确认映射正确
84,北京市,内分泌,TT4,甲状腺素,exact,否,缩写→中文-请确认映射正确
84,北京市,内分泌,FT3,游离三碘甲状腺原氨酸,exact,否,缩写→中文-请确认映射正确
84,北京市,内分泌,FT4,游离甲状腺素,exact,否,缩写→中文-请确认映射正确
84,北京市,内分泌,TSH,促甲状腺激素,exact,否,缩写→中文-请确认映射正确
84,北京市,内分泌,PTH,甲状旁腺激素,exact,否,缩写→中文-请确认映射正确
88,北京市,肝炎标志物,HBsAg,乙型肝炎病毒表面抗原,exact,否,缩写→中文-请确认映射正确
88,北京市,肝炎标志物,HBsAb,乙型肝炎病毒表面抗体,exact,否,缩写→中文-请确认映射正确
88,北京市,肝炎标志物,HBcAb,乙型肝炎病毒核心抗体,exact,否,缩写→中文-请确认映射正确
88,北京市,肝炎标志物,HCVAb,丙型肝炎病毒抗体,exact,否,缩写→中文-请确认映射正确
90,北京市,感染性疾病血清学标志物系列C,HIV,人类免疫缺陷病毒抗原及抗体,exact,否,缩写→中文-请确认映射正确
92,北京市,中孕期母血清产前筛查,AFP,甲胎蛋白,exact,否,缩写→中文-请确认映射正确
92,北京市,中孕期母血清产前筛查,βHCG,β人绒毛膜促性腺激素,exact,否,缩写→中文-请确认映射正确
92,北京市,中孕期母血清产前筛查,uE3,非结合型雌三醇,exact,否,缩写→中文-请确认映射正确
94,北京市,肿瘤标志物A,总βHCG,β人绒毛膜促性腺激素,exact,否,缩写→中文-请确认映射正确
94,北京市,肿瘤标志物A,AFP,甲胎蛋白,exact,否,缩写→中文-请确认映射正确
94,北京市,肿瘤标志物A,CEA,癌胚抗原（胸腹水）,exact,否,缩写→中文-请确认映射正确
94,北京市,肿瘤标志物A,TPSA,总前列腺特异性抗原,exact,否,缩写→中文-请确认映射正确
94,北京市,肿瘤标志物A,FPSA,游离前列腺特异性抗原,exact,否,缩写→中文-请确认映射正确
97,北京市,sTfR,sTfR,可溶性转铁蛋白受体,exact,否,缩写→中文-请确认映射正确
106,卫健委,脂类B,sdLDL,小而密低密度脂蛋白胆固醇,exact,否,缩写→中文-请确认映射正确
107,卫健委,脂类B,sdLDL,小而密低密度脂蛋白胆固醇,exact,否,缩写→中文-请确认映射正确
108,卫健委,甲状腺功能检测,游离T3,游离三碘甲状腺原氨酸,exact,否,缩写→中文-请确认映射正确
108,卫健委,甲状腺功能检测,总T3,三碘甲状腺原氨酸,exact,否,缩写→中文-请确认映射正确
108,卫健委,甲状腺功能检测,游离T4,游离甲状腺素,exact,否,缩写→中文-请确认映射正确
108,卫健委,甲状腺功能检测,总T4,甲状腺素,exact,否,缩写→中文-请确认映射正确
108,卫健委,甲状腺功能检测,TSH,促甲状腺激素,exact,否,缩写→中文-请确认映射正确
108,卫健委,甲状腺功能检测,TgAb,抗甲状腺球蛋白抗体,exact,否,缩写→中文-请确认映射正确
108,卫健委,甲状腺功能检测,TPOAb,抗甲状腺过氧化物酶抗体,exact,否,缩写→中文-请确认映射正确
108,卫健委,甲状腺功能检测,TRAb,促甲状腺激素受体抗体,exact,否,缩写→中文-请确认映射正确
109,卫健委,甲状腺功能检测,游离T3,游离三碘甲状腺原氨酸,exact,否,缩写→中文-请确认映射正确
109,卫健委,甲状腺功能检测,总T3,三碘甲状腺原氨酸,exact,否,缩写→中文-请确认映射正确
109,卫健委,甲状腺功能检测,游离T4,游离甲状腺素,exact,否,缩写→中文-请确认映射正确
109,卫健委,甲状腺功能检测,总T4,甲状腺素,exact,否,缩写→中文-请确认映射正确
109,卫健委,甲状腺功能检测,TSH,促甲状腺激素,exact,否,缩写→中文-请确认映射正确
109,卫健委,甲状腺功能检测,TgAb,抗甲状腺球蛋白抗体,exact,否,缩写→中文-请确认映射正确
109,卫健委,甲状腺功能检测,TPOAb,抗甲状腺过氧化物酶抗体,exact,否,缩写→中文-请确认映射正确
109,卫健委,甲状腺功能检测,TRAb,促甲状腺激素受体抗体,exact,否,缩写→中文-请确认映射正确
110,卫健委,骨代谢标志物,PTH,甲状旁腺激素,exact,否,缩写→中文-请确认映射正确
110,卫健委,骨代谢标志物,TP1NP,总蛋白,substring,否,缩写→中文-请确认映射正确
112,卫健委,纤维蛋白（原）降解产物检测,FDP,纤维蛋白（原）降解产物,exact,否,缩写→中文-请确认映射正确
4,卫健委,脂类A,脂蛋白（a）,脂蛋白a,exact,否,安全可改
5,卫健委,脂类A,脂蛋白（a）,脂蛋白a,exact,否,安全可改
8,卫健委,血气和酸碱分析,Ph,血气和酸碱分析-pH,exact,否,安全可改
8,卫健委,血气和酸碱分析,pCO2,血气和酸碱分析-PCO2,exact,否,安全可改
8,卫健委,血气和酸碱分析,PO2,血气和酸碱分析-PO2,exact,否,安全可改
8,卫健委,血气和酸碱分析,离子钙,血气和酸碱分析-Ca,exact,否,安全可改
9,卫健委,心衰标志物,BNP,B型钠尿肽,exact,否,安全可改
10,卫健委,尿液定量生化,钙,总钙,exact,否,安全可改
10,卫健委,尿液定量生化,磷,无机磷,exact,否,安全可改
10,卫健委,尿液定量生化,微量白蛋白,尿微量白蛋白,exact,否,安全可改
11,卫健委,尿液蛋白标志物Ⅰ,免疫球蛋白轻链κ（尿液）,尿κ轻链,exact,否,安全可改
11,卫健委,尿液蛋白标志物Ⅰ,免疫球蛋白轻链λ（尿液）,尿λ轻链,exact,否,安全可改
12,卫健委,尿液蛋白标志物Ⅰ,免疫球蛋白轻链κ（尿液）,尿κ轻链,exact,否,安全可改
12,卫健委,尿液蛋白标志物Ⅰ,免疫球蛋白轻链λ（尿液）,尿λ轻链,exact,否,安全可改
13,卫健委,血清淀粉样蛋白A,SAA,血清淀粉样蛋白A,exact,否,安全可改
14,卫健委,血清淀粉样蛋白A,SAA,血清淀粉样蛋白A,exact,否,安全可改
15,卫健委,半胱氨酸蛋白酶抑制剂C,Cys-C,胱抑素C,exact,否,安全可改
18,卫健委,脑脊液生化,微量总蛋白,总蛋白,substring,否,安全可改
18,卫健委,脑脊液生化,微量白蛋白,尿微量白蛋白,exact,否,安全可改
23,卫健委,D-二聚体检测,D-Dimer,血浆D-二聚体,exact,否,安全可改
24,卫健委,D-二聚体检测,D-Dimer,血浆D-二聚体,exact,否,安全可改
25,卫健委,常规化学B,腺苷脱氨酶,腺苷脱氨酶（胸腹水）,substring,否,安全可改
25,卫健委,常规化学B,碳酸氢根,二氧化碳,exact,否,安全可改
26,卫健委,常规化学B,腺苷脱氨酶,腺苷脱氨酶（胸腹水）,substring,否,安全可改
26,卫健委,常规化学B,碳酸氢根,二氧化碳,exact,否,安全可改
27,卫健委,常规化学A,钙,总钙,exact,否,安全可改
27,卫健委,常规化学A,磷,无机磷,exact,否,安全可改
27,卫健委,常规化学A,血糖,葡萄糖,exact,否,安全可改
27,卫健委,常规化学A,γ-谷氨酸氨基转移酶,γ-谷氨酰基转移酶,exact,否,安全可改
27,卫健委,常规化学A,铜离子,铜,exact,否,安全可改
27,卫健委,常规化学A,血清锌,锌,exact,否,安全可改
28,卫健委,常规化学A,钙,总钙,exact,否,安全可改
28,卫健委,常规化学A,磷,无机磷,exact,否,安全可改
28,卫健委,常规化学A,血糖,葡萄糖,exact,否,安全可改
28,卫健委,常规化学A,γ-谷氨酸氨基转移酶,γ-谷氨酰基转移酶,exact,否,安全可改
28,卫健委,常规化学A,铜离子,铜,exact,否,安全可改
28,卫健委,常规化学A,血清锌,锌,exact,否,安全可改
29,卫健委,常规化学A,钙,总钙,exact,否,安全可改
29,卫健委,常规化学A,磷,无机磷,exact,否,安全可改
29,卫健委,常规化学A,血糖,葡萄糖,exact,否,安全可改
29,卫健委,常规化学A,γ-谷氨酸氨基转移酶,γ-谷氨酰基转移酶,exact,否,安全可改
29,卫健委,常规化学A,铜离子,铜,exact,否,安全可改
29,卫健委,常规化学A,血清锌,锌,exact,否,安全可改
30,卫健委,特殊蛋白,IgA,免疫球蛋白A,exact,否,安全可改
30,卫健委,特殊蛋白,IgG,抗精子抗体IgG,exact,否,安全可改
30,卫健委,特殊蛋白,IgM,抗精子抗体IgM,exact,否,安全可改
30,卫健委,特殊蛋白,C3,补体C3,exact,否,安全可改
30,卫健委,特殊蛋白,C4,补体C4,exact,否,安全可改
30,卫健委,特殊蛋白,CRP,超敏C反应蛋白,exact,否,安全可改
30,卫健委,特殊蛋白,ASO,抗链球菌溶血素O,exact,否,安全可改
30,卫健委,特殊蛋白,免疫球蛋白轻链κ,κ轻链（血清）,exact,否,安全可改
30,卫健委,特殊蛋白,免疫球蛋白轻链λ,λ轻链（血清）,exact,否,安全可改
31,卫健委,特殊蛋白,IgA,免疫球蛋白A,exact,否,安全可改
31,卫健委,特殊蛋白,IgG,抗精子抗体IgG,exact,否,安全可改
31,卫健委,特殊蛋白,IgM,抗精子抗体IgM,exact,否,安全可改
31,卫健委,特殊蛋白,C3,补体C3,exact,否,安全可改
31,卫健委,特殊蛋白,C4,补体C4,exact,否,安全可改
31,卫健委,特殊蛋白,CRP,超敏C反应蛋白,exact,否,安全可改
31,卫健委,特殊蛋白,ASO,抗链球菌溶血素O,exact,否,安全可改
31,卫健委,特殊蛋白,免疫球蛋白轻链κ,κ轻链（血清）,exact,否,安全可改
31,卫健委,特殊蛋白,免疫球蛋白轻链λ,λ轻链（血清）,exact,否,安全可改
32,卫健委,抗凝蛋白,蛋白S,血浆蛋白S活性,substring,否,安全可改
33,卫健委,抗凝蛋白,蛋白S,血浆蛋白S活性,substring,否,安全可改
34,卫健委,抗凝血因子Xa活性检测,抗FXa活性,抗Xa活性,exact,否,安全可改
35,卫健委,血管性血友病因子抗原检测,vWF,vWF因子,exact,否,安全可改
40,北京市,常规化学A,钙,总钙,exact,否,安全可改
40,北京市,常规化学A,磷,无机磷,exact,否,安全可改
40,北京市,常规化学A,血糖,葡萄糖,exact,否,安全可改
40,北京市,常规化学A,铜离子,铜,exact,否,安全可改
40,北京市,常规化学A,血清锌,锌,exact,否,安全可改
41,北京市,常规化学A,钙,总钙,exact,否,安全可改
41,北京市,常规化学A,磷,无机磷,exact,否,安全可改
